Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
-5.97664e-02,0.18,0.98
-5.97648e-02,0.86,-0.94
-5.97632e-02,0.34,0.98
-5.97616e-02,-0.78,-0.94
-5.97600e-02,-0.66,1.02
-5.97584e-02,0.14,-0.94
-5.97568e-02,0.86,1.02
-5.97552e-02,0.34,-0.94
-5.97536e-02,-0.78,1.02
-5.97520e-02,-0.66,-0.98
-5.97504e-02,0.14,0.98
-5.97488e-02,0.86,-0.94
-5.97472e-02,0.38,0.98
-5.97456e-02,-0.78,-0.94
-5.97440e-02,-0.66,0.98
-5.97424e-02,0.14,-0.98
-5.97408e-02,0.82,0.98
-5.97392e-02,0.34,-0.98
-5.97376e-02,-0.82,0.98
-5.97360e-02,-0.7,-0.98
-5.97344e-02,0.18,0.98
-5.97328e-02,0.86,-0.98
-5.97312e-02,0.34,1.02
-5.97296e-02,-0.78,-0.98
-5.97280e-02,-0.66,0.98
-5.97264e-02,0.14,-0.98
-5.97248e-02,0.86,0.98
-5.97232e-02,0.34,-0.98
-5.97216e-02,-0.82,0.98
-5.97200e-02,-0.7,-0.98
-5.97184e-02,0.14,0.98
-5.97168e-02,0.86,-0.98
-5.97152e-02,0.38,0.98
-5.97136e-02,-0.82,-0.98
-5.97120e-02,-0.7,0.98
-5.97104e-02,0.14,-0.98
-5.97088e-02,0.82,0.98
-5.97072e-02,0.38,-0.98
-5.97056e-02,-0.82,0.98
-5.97040e-02,-0.7,-1.02
-5.97024e-02,0.14,1.02
-5.97008e-02,0.86,-0.98
-5.96992e-02,0.38,0.98
-5.96976e-02,-0.82,-0.98
-5.96960e-02,-0.7,0.98
-5.96944e-02,0.14,-0.98
-5.96928e-02,0.86,0.98
-5.96912e-02,0.38,-0.98
-5.96896e-02,-0.86,0.98
-5.96880e-02,-0.7,-0.98
-5.96864e-02,0.14,0.98
-5.96848e-02,0.86,-0.98
-5.96832e-02,0.38,0.98
-5.96816e-02,-0.86,-0.98
-5.96800e-02,-0.7,0.98
-5.96784e-02,0.1,-0.94
-5.96768e-02,0.86,0.98
-5.96752e-02,0.38,-0.98
-5.96736e-02,-0.86,1.02
-5.96720e-02,-0.7,-0.98
-5.96704e-02,0.14,1.02
-5.96688e-02,0.86,-0.98
-5.96672e-02,0.38,1.02
-5.96656e-02,-0.9,-0.98
-5.96640e-02,-0.7,1.02
-5.96624e-02,0.1,-0.98
-5.96608e-02,0.86,1.02
-5.96592e-02,0.38,-0.98
-5.96576e-02,-0.9,1.02
-5.96560e-02,-0.66,-0.98
-5.96544e-02,0.14,1.02
-5.96528e-02,0.86,-0.98
-5.96512e-02,0.42,1.02
-5.96496e-02,-0.86,-0.98
-5.96480e-02,-0.7,1.02
-5.96464e-02,0.1,-0.98
-5.96448e-02,0.86,1.02
-5.96432e-02,0.38,-0.98
-5.96416e-02,-0.86,1.02
-5.96400e-02,-0.7,-0.94
-5.96384e-02,0.1,1.02
-5.96368e-02,0.86,-0.98
-5.96352e-02,0.42,1.02
-5.96336e-02,-0.9,-0.98
-5.96320e-02,-0.7,1.02
-5.96304e-02,0.1,-0.94
-5.96288e-02,0.86,1.02
-5.96272e-02,0.42,-0.98
-5.96256e-02,-0.9,1.02
-5.96240e-02,-0.7,-0.94
-5.96224e-02,0.1,1.06
-5.96208e-02,0.82,-0.94
-5.96192e-02,0.38,1.02
-5.96176e-02,-0.86,-0.98
-5.96160e-02,-0.7,1.02
-5.96144e-02,0.1,-0.98
-5.96128e-02,0.86,1.02
-5.96112e-02,0.42,-0.98
-5.96096e-02,-0.9,1.02
-5.96080e-02,-0.66,-0.98
-5.96064e-02,0.0600001,1.02
-5.96048e-02,0.82,-0.98
-5.96032e-02,0.42,1.02
-5.96016e-02,-0.86,-1.02
-5.96000e-02,-0.7,1.02
-5.95984e-02,0.1,-0.98
-5.95968e-02,0.86,1.02
-5.95952e-02,0.38,-0.98
-5.95936e-02,-0.9,1.02
-5.95920e-02,-0.66,-0.94
-5.95904e-02,0.0600001,1.02
-5.95888e-02,0.82,-0.98
-5.95872e-02,0.42,1.02
-5.95856e-02,-0.9,-0.98
-5.95840e-02,-0.7,1.02
-5.95824e-02,0.1,-0.94
-5.95808e-02,0.86,1.02
-5.95792e-02,0.42,-0.98
-5.95776e-02,-0.86,1.02
-5.95760e-02,-0.7,-0.98
-5.95744e-02,0.0600001,1.02
-5.95728e-02,0.82,-0.94
-5.95712e-02,0.42,1.02
-5.95696e-02,-0.86,-0.94
-5.95680e-02,-0.7,1.02
-5.95664e-02,0.0600001,-0.98
-5.95648e-02,0.86,1.02
-5.95632e-02,0.42,-0.94
-5.95616e-02,-0.86,1.02
-5.95600e-02,-0.7,-0.94
-5.95584e-02,0.0600001,0.98
-5.95568e-02,0.82,-0.94
-5.95552e-02,0.42,1.02
-5.95536e-02,-0.86,-0.94
-5.95520e-02,-0.7,1.02
-5.95504e-02,0.1,-0.94
-5.95488e-02,0.82,1.02
-5.95472e-02,0.46,-0.94
-5.95456e-02,-0.82,1.02
-5.95440e-02,-0.74,-0.94
-5.95424e-02,0.0600001,1.02
-5.95408e-02,0.82,-0.94
-5.95392e-02,0.42,0.98
-5.95376e-02,-0.78,-0.94
-5.95360e-02,-0.7,0.98
-5.95344e-02,0.0600001,-0.94
-5.95328e-02,0.82,0.98
-5.95312e-02,0.46,-0.94
-5.95296e-02,-0.78,1.02
-5.95280e-02,-0.74,-0.94
-5.95264e-02,0.0600001,0.98
-5.95248e-02,0.82,-0.98
-5.95232e-02,0.46,0.98
-5.95216e-02,-0.78,-0.98
-5.95200e-02,-0.7,0.98
-5.95184e-02,0.0600001,-0.94
-5.95168e-02,0.82,0.98
-5.95152e-02,0.42,-0.98
-5.95136e-02,-0.78,0.98
-5.95120e-02,-0.74,-0.98
-5.95104e-02,0.0200001,0.98
-5.95088e-02,0.82,-0.98
-5.95072e-02,0.46,0.98
-5.95056e-02,-0.78,-1.02
-5.95040e-02,-0.74,0.98
-5.95024e-02,0.0200001,-0.98
-5.95008e-02,0.82,0.98
-5.94992e-02,0.46,-0.98
-5.94976e-02,-0.74,0.98
-5.94960e-02,-0.74,-0.98
-5.94944e-02,0.0600001,0.98
-5.94928e-02,0.82,-0.98
-5.94912e-02,0.5,0.98
-5.94896e-02,-0.74,-1.02
-5.94880e-02,-0.74,0.98
-5.94864e-02,0.0200001,-1.02
-5.94848e-02,0.82,0.98
-5.94832e-02,0.5,-1.02
-5.94816e-02,-0.74,0.98
-5.94800e-02,-0.74,-1.02
-5.94784e-02,0.0200001,0.98
-5.94768e-02,0.82,-1.02
-5.94752e-02,0.5,0.98
-5.94736e-02,-0.7,-1.02
-5.94720e-02,-0.74,0.98
-5.94704e-02,0.0200001,-0.98
-5.94688e-02,0.82,0.94
-5.94672e-02,0.46,-1.02
-5.94656e-02,-0.74,0.98
-5.94640e-02,-0.78,-1.02
-5.94624e-02,0.0200001,0.94
-5.94608e-02,0.82,-0.98
-5.94592e-02,0.5,0.98
-5.94576e-02,-0.74,-1.02
-5.94560e-02,-0.78,0.94
-5.94544e-02,0.0200001,-1.02
-5.94528e-02,0.82,0.94
-5.94512e-02,0.5,-1.02
-5.94496e-02,-0.7,0.94
-5.94480e-02,-0.74,-1.02
-5.94464e-02,0.0200001,0.94
-5.94448e-02,0.82,-1.02
-5.94432e-02,0.5,0.94
-5.94416e-02,-0.74,-1.02
-5.94400e-02,-0.78,0.94
-5.94384e-02,0.0200001,-1.02
-5.94368e-02,0.82,0.94
-5.94352e-02,0.5,-1.02
-5.94336e-02,-0.74,0.94
-5.94320e-02,-0.78,-1.02
-5.94304e-02,-0.0199999,0.94
-5.94288e-02,0.82,-1.02
-5.94272e-02,0.5,0.98
-5.94256e-02,-0.74,-1.02
-5.94240e-02,-0.74,0.94
-5.94224e-02,0.0200001,-1.02
-5.94208e-02,0.78,0.94
-5.94192e-02,0.5,-1.02
-5.94176e-02,-0.78,0.98
-5.94160e-02,-0.78,-1.02
-5.94144e-02,0.0200001,0.98
-5.94128e-02,0.78,-1.02
-5.94112e-02,0.5,0.98
-5.94096e-02,-0.78,-1.02
-5.94080e-02,-0.78,0.98
-5.94064e-02,0.0200001,-1.02
-5.94048e-02,0.82,0.94
-5.94032e-02,0.5,-1.02
-5.94016e-02,-0.78,0.98
-5.94000e-02,-0.78,-1.02
-5.93984e-02,0.0200001,0.98
-5.93968e-02,0.82,-1.02
-5.93952e-02,0.54,0.98
-5.93936e-02,-0.78,-1.02
-5.93920e-02,-0.78,0.98
-5.93904e-02,0.0200001,-1.02
-5.93888e-02,0.78,0.98
-5.93872e-02,0.54,-1.02
-5.93856e-02,-0.78,0.98
-5.93840e-02,-0.74,-1.02
-5.93824e-02,-0.0199999,0.98
-5.93808e-02,0.82,-1.06
-5.93792e-02,0.5,0.98
-5.93776e-02,-0.78,-1.02
-5.93760e-02,-0.74,1.02
-5.93744e-02,-0.0199999,-1.02
-5.93728e-02,0.78,0.98
-5.93712e-02,0.5,-1.02
-5.93696e-02,-0.82,1.02
-5.93680e-02,-0.74,-1.02
-5.93664e-02,-0.0199999,1.02
-5.93648e-02,0.78,-1.02
-5.93632e-02,0.54,1.02
-5.93616e-02,-0.82,-1.02
-5.93600e-02,-0.78,1.02
-5.93584e-02,-0.0199999,-0.98
-5.93568e-02,0.78,1.02
-5.93552e-02,0.54,-1.02
-5.93536e-02,-0.82,1.02
-5.93520e-02,-0.78,-1.02
-5.93504e-02,-0.0199999,1.02
-5.93488e-02,0.78,-1.02
-5.93472e-02,0.5,1.02
-5.93456e-02,-0.82,-1.02
-5.93440e-02,-0.74,1.02
-5.93424e-02,-0.0199999,-0.98
-5.93408e-02,0.82,1.02
-5.93392e-02,0.54,-1.02
-5.93376e-02,-0.86,1.02
-5.93360e-02,-0.78,-1.02
-5.93344e-02,-0.0199999,1.02
-5.93328e-02,0.78,-1.02
-5.93312e-02,0.54,1.02
-5.93296e-02,-0.82,-0.98
-5.93280e-02,-0.78,1.02
-5.93264e-02,-0.0599999,-0.98
-5.93248e-02,0.78,1.02
-5.93232e-02,0.54,-1.02
-5.93216e-02,-0.78,1.02
-5.93200e-02,-0.74,-0.98
-5.93184e-02,-0.0199999,1.02
-5.93168e-02,0.82,-0.98
-5.93152e-02,0.54,1.02
-5.93136e-02,-0.78,-1.02
-5.93120e-02,-0.74,1.02
-5.93104e-02,-0.0599999,-0.98
-5.93088e-02,0.78,1.02
-5.93072e-02,0.54,-0.98
-5.93056e-02,-0.82,1.02
-5.93040e-02,-0.74,-0.98
-5.93024e-02,-0.0599999,1.02
-5.93008e-02,0.78,-1.02
-5.92992e-02,0.54,1.02
-5.92976e-02,-0.82,-1.02
-5.92960e-02,-0.78,0.98
-5.92944e-02,-0.0599999,-0.98
-5.92928e-02,0.78,0.98
-5.92912e-02,0.54,-0.98
-5.92896e-02,-0.78,0.98
-5.92880e-02,-0.78,-0.98
-5.92864e-02,-0.0599999,0.98
-5.92848e-02,0.82,-1.02
-5.92832e-02,0.54,0.98
-5.92816e-02,-0.78,-0.98
-5.92800e-02,-0.78,0.98
-5.92784e-02,-0.0599999,-0.98
-5.92768e-02,0.82,0.98
-5.92752e-02,0.54,-0.98
-5.92736e-02,-0.74,1.02
-5.92720e-02,-0.78,-1.02
-5.92704e-02,-0.0599999,0.98
-5.92688e-02,0.78,-1.02
-5.92672e-02,0.54,1.02
-5.92656e-02,-0.74,-1.02
-5.92640e-02,-0.78,0.98
-5.92624e-02,-0.0599999,-0.98
-5.92608e-02,0.82,0.98
-5.92592e-02,0.54,-0.98
-5.92576e-02,-0.7,0.98
-5.92560e-02,-0.82,-0.98
-5.92544e-02,-0.0599999,0.98
-5.92528e-02,0.78,-0.98
-5.92512e-02,0.58,0.98
-5.92496e-02,-0.7,-1.02
-5.92480e-02,-0.78,0.98
-5.92464e-02,-0.0599999,-0.98
-5.92448e-02,0.78,0.94
-5.92432e-02,0.54,-1.02
-5.92416e-02,-0.66,0.94
-5.92400e-02,-0.82,-0.98
-5.92384e-02,-0.0999999,0.94
-5.92368e-02,0.78,-1.02
-5.92352e-02,0.54,0.94
-5.92336e-02,-0.66,-1.02
-5.92320e-02,-0.78,0.94
-5.92304e-02,-0.0599999,-1.02
-5.92288e-02,0.78,0.94
-5.92272e-02,0.58,-1.02
-5.92256e-02,-0.66,0.94
-5.92240e-02,-0.82,-1.02
-5.92224e-02,-0.0599999,0.94
-5.92208e-02,0.74,-1.02
-5.92192e-02,0.58,0.94
-5.92176e-02,-0.62,-1.02
-5.92160e-02,-0.82,0.94
-5.92144e-02,-0.0999999,-1.02
-5.92128e-02,0.78,0.94
-5.92112e-02,0.58,-1.02
-5.92096e-02,-0.66,0.94
-5.92080e-02,-0.82,-1.02
-5.92064e-02,-0.0999999,0.94
-5.92048e-02,0.74,-1.06
-5.92032e-02,0.62,0.94
-5.92016e-02,-0.62,-1.02
-5.92000e-02,-0.82,0.94
-5.91984e-02,-0.0999999,-1.02
-5.91968e-02,0.78,0.94
-5.91952e-02,0.62,-1.06
-5.91936e-02,-0.62,0.94
-5.91920e-02,-0.82,-1.02
-5.91904e-02,-0.0999999,0.94
-5.91888e-02,0.78,-1.06
-5.91872e-02,0.62,0.94
-5.91856e-02,-0.62,-1.02
-5.91840e-02,-0.82,0.94
-5.91824e-02,-0.0999999,-1.02
-5.91808e-02,0.74,0.94
-5.91792e-02,0.62,-1.02
-5.91776e-02,-0.62,0.94
-5.91760e-02,-0.82,-1.02
-5.91744e-02,-0.0999999,0.94
-5.91728e-02,0.74,-1.02
-5.91712e-02,0.62,0.94
-5.91696e-02,-0.62,-1.06
-5.91680e-02,-0.82,0.94
-5.91664e-02,-0.0999999,-1.06
-5.91648e-02,0.78,0.94
-5.91632e-02,0.62,-1.02
-5.91616e-02,-0.62,0.94
-5.91600e-02,-0.86,-1.02
-5.91584e-02,-0.14,0.94
-5.91568e-02,0.74,-1.06
-5.91552e-02,0.62,0.94
-5.91536e-02,-0.62,-1.02
-5.91520e-02,-0.82,0.94
-5.91504e-02,-0.14,-1.02
-5.91488e-02,0.74,0.94
-5.91472e-02,0.58,-1.02
-5.91456e-02,-0.62,0.94
-5.91440e-02,-0.82,-1.06
-5.91424e-02,-0.14,0.94
-5.91408e-02,0.74,-1.02
-5.91392e-02,0.62,0.94
-5.91376e-02,-0.66,-1.02
-5.91360e-02,-0.82,0.94
-5.91344e-02,-0.14,-1.02
-5.91328e-02,0.74,0.9
-5.91312e-02,0.62,-1.02
-5.91296e-02,-0.66,0.94
-5.91280e-02,-0.82,-1.02
-5.91264e-02,-0.0999999,0.94
-5.91248e-02,0.74,-1.02
-5.91232e-02,0.66,0.94
-5.91216e-02,-0.7,-1.02
-5.91200e-02,-0.82,0.94
-5.91184e-02,-0.14,-1.02
-5.91168e-02,0.74,0.94
-5.91152e-02,0.66,-1.02
-5.91136e-02,-0.7,0.94
-5.91120e-02,-0.82,-1.06
-5.91104e-02,-0.14,0.94
-5.91088e-02,0.74,-1.06
-5.91072e-02,0.62,0.94
-5.91056e-02,-0.7,-1.06
-5.91040e-02,-0.82,0.94
-5.91024e-02,-0.14,-1.02
-5.91008e-02,0.74,0.94
-5.90992e-02,0.66,-1.06
-5.90976e-02,-0.7,0.98
-5.90960e-02,-0.82,-1.06
-5.90944e-02,-0.18,0.94
-5.90928e-02,0.74,-1.02
-5.90912e-02,0.62,0.98
-5.90896e-02,-0.74,-1.02
-5.90880e-02,-0.82,0.98
-5.90864e-02,-0.14,-1.06
-5.90848e-02,0.74,0.98
-5.90832e-02,0.66,-1.06
-5.90816e-02,-0.7,0.98
-5.90800e-02,-0.82,-1.06
-5.90784e-02,-0.14,0.98
-5.90768e-02,0.74,-1.06
-5.90752e-02,0.66,0.98
-5.90736e-02,-0.74,-1.06
-5.90720e-02,-0.82,0.98
-5.90704e-02,-0.18,-1.02
-5.90688e-02,0.74,0.98
-5.90672e-02,0.66,-1.06
-5.90656e-02,-0.74,0.98
-5.90640e-02,-0.86,-1.06
-5.90624e-02,-0.18,0.98
-5.90608e-02,0.74,-1.02
-5.90592e-02,0.62,0.98
-5.90576e-02,-0.74,-1.06
-5.90560e-02,-0.86,0.98
-5.90544e-02,-0.14,-1.02
-5.90528e-02,0.74,0.98
-5.90512e-02,0.62,-1.02
-5.90496e-02,-0.7,0.98
-5.90480e-02,-0.82,-1.02
-5.90464e-02,-0.18,0.98
-5.90448e-02,0.7,-1.02
-5.90432e-02,0.66,0.98
-5.90416e-02,-0.7,-1.02
-5.90400e-02,-0.82,0.98
-5.90384e-02,-0.18,-1.02
-5.90368e-02,0.7,0.98
-5.90352e-02,0.62,-1.02
-5.90336e-02,-0.7,0.98
-5.90320e-02,-0.82,-1.02
-5.90304e-02,-0.18,0.98
-5.90288e-02,0.7,-1.02
-5.90272e-02,0.66,0.98
-5.90256e-02,-0.7,-1.02
-5.90240e-02,-0.86,0.98
-5.90224e-02,-0.18,-1.02
-5.90208e-02,0.7,0.98
-5.90192e-02,0.66,-1.02
-5.90176e-02,-0.66,0.94
-5.90160e-02,-0.86,-1.02
-5.90144e-02,-0.18,0.98
-5.90128e-02,0.7,-1.02
-5.90112e-02,0.66,0.94
-5.90096e-02,-0.66,-1.02
-5.90080e-02,-0.82,0.98
-5.90064e-02,-0.18,-1.02
-5.90048e-02,0.74,0.94
-5.90032e-02,0.7,-1.02
-5.90016e-02,-0.66,0.94
-5.90000e-02,-0.82,-1.02
-5.89984e-02,-0.18,0.94
-5.89968e-02,0.7,-1.02
-5.89952e-02,0.7,0.94
-5.89936e-02,-0.62,-1.02
-5.89920e-02,-0.82,0.94
-5.89904e-02,-0.22,-1.02
-5.89888e-02,0.7,0.9
-5.89872e-02,0.66,-1.02
-5.89856e-02,-0.66,0.94
-5.89840e-02,-0.86,-1.02
-5.89824e-02,-0.22,0.9
-5.89808e-02,0.7,-1.02
-5.89792e-02,0.66,0.94
-5.89776e-02,-0.62,-1.02
-5.89760e-02,-0.86,0.94
-5.89744e-02,-0.22,-1.02
-5.89728e-02,0.7,0.94
-5.89712e-02,0.7,-1.06
-5.89696e-02,-0.62,0.94
-5.89680e-02,-0.86,-1.02
-5.89664e-02,-0.22,0.94
-5.89648e-02,0.7,-1.02
-5.89632e-02,0.7,0.94
-5.89616e-02,-0.58,-1.02
-5.89600e-02,-0.86,0.94
-5.89584e-02,-0.22,-1.02
-5.89568e-02,0.66,0.94
-5.89552e-02,0.7,-1.02
-5.89536e-02,-0.58,0.94
-5.89520e-02,-0.86,-1.02
-5.89504e-02,-0.22,0.94
-5.89488e-02,0.66,-1.02
-5.89472e-02,0.7,0.94
-5.89456e-02,-0.54,-1.02
-5.89440e-02,-0.9,0.98
-5.89424e-02,-0.22,-1.02
-5.89408e-02,0.74,0.94
-5.89392e-02,0.7,-1.02
-5.89376e-02,-0.54,0.98
-5.89360e-02,-0.86,-1.02
-5.89344e-02,-0.26,0.94
-5.89328e-02,0.66,-1.02
-5.89312e-02,0.74,0.94
-5.89296e-02,-0.54,-1.02
-5.89280e-02,-0.86,0.94
-5.89264e-02,-0.26,-1.02
-5.89248e-02,0.7,0.94
-5.89232e-02,0.7,-1.06
-5.89216e-02,-0.54,0.98
-5.89200e-02,-0.9,-1.02
-5.89184e-02,-0.22,0.98
-5.89168e-02,0.7,-1.02
-5.89152e-02,0.7,0.98
-5.89136e-02,-0.54,-1.02
-5.89120e-02,-0.86,0.98
-5.89104e-02,-0.26,-1.06
-5.89088e-02,0.66,0.98
-5.89072e-02,0.7,-1.02
-5.89056e-02,-0.5,0.98
-5.89040e-02,-0.86,-1.02
-5.89024e-02,-0.26,0.98
-5.89008e-02,0.7,-1.02
-5.88992e-02,0.74,0.98
-5.88976e-02,-0.54,-1.06
-5.88960e-02,-0.86,0.98
-5.88944e-02,-0.26,-1.02
-5.88928e-02,0.7,0.98
-5.88912e-02,0.74,-1.02
-5.88896e-02,-0.54,0.98
-5.88880e-02,-0.86,-1.02
-5.88864e-02,-0.26,0.98
-5.88848e-02,0.66,-1.02
-5.88832e-02,0.74,0.98
-5.88816e-02,-0.5,-1.06
-5.88800e-02,-0.86,0.98
-5.88784e-02,-0.26,-1.02
-5.88768e-02,0.7,0.98
-5.88752e-02,0.74,-1.02
-5.88736e-02,-0.54,0.98
-5.88720e-02,-0.9,-1.06
-5.88704e-02,-0.26,0.98
-5.88688e-02,0.7,-1.02
-5.88672e-02,0.74,0.98
-5.88656e-02,-0.54,-1.06
-5.88640e-02,-0.86,0.94
-5.88624e-02,-0.26,-1.02
-5.88608e-02,0.7,0.98
-5.88592e-02,0.74,-1.02
-5.88576e-02,-0.58,0.98
-5.88560e-02,-0.86,-1.02
-5.88544e-02,-0.26,0.98
-5.88528e-02,0.66,-1.02
-5.88512e-02,0.74,0.98
-5.88496e-02,-0.58,-1.02
-5.88480e-02,-0.86,0.98
-5.88464e-02,-0.26,-1.02
-5.88448e-02,0.66,0.98
-5.88432e-02,0.74,-1.06
-5.88416e-02,-0.58,0.98
-5.88400e-02,-0.9,-1.06
-5.88384e-02,-0.26,0.98
-5.88368e-02,0.66,-1.06
-5.88352e-02,0.74,0.94
-5.88336e-02,-0.58,-1.06
-5.88320e-02,-0.86,0.98
-5.88304e-02,-0.3,-1.06
-5.88288e-02,0.66,0.98
-5.88272e-02,0.74,-1.06
-5.88256e-02,-0.58,0.98
-5.88240e-02,-0.86,-1.06
-5.88224e-02,-0.3,0.98
-5.88208e-02,0.66,-1.06
-5.88192e-02,0.74,0.94
-5.88176e-02,-0.58,-1.06
-5.88160e-02,-0.86,0.98
-5.88144e-02,-0.26,-1.06
-5.88128e-02,0.66,0.98
-5.88112e-02,0.74,-1.06
-5.88096e-02,-0.62,0.94
-5.88080e-02,-0.86,-1.06
-5.88064e-02,-0.3,0.98
-5.88048e-02,0.66,-1.06
-5.88032e-02,0.74,0.94
-5.88016e-02,-0.62,-1.1
-5.88000e-02,-0.86,0.98
-5.87984e-02,-0.3,-1.06
-5.87968e-02,0.66,0.94
-5.87952e-02,0.74,-1.06
-5.87936e-02,-0.62,0.94
-5.87920e-02,-0.86,-1.06
-5.87904e-02,-0.3,0.94
-5.87888e-02,0.66,-1.06
-5.87872e-02,0.74,0.94
-5.87856e-02,-0.62,-1.06
-5.87840e-02,-0.86,0.94
-5.87824e-02,-0.3,-1.06
-5.87808e-02,0.66,0.94
-5.87792e-02,0.74,-1.06
-5.87776e-02,-0.62,0.94
-5.87760e-02,-0.86,-1.06
-5.87744e-02,-0.3,0.94
-5.87728e-02,0.66,-1.06
-5.87712e-02,0.78,0.94
-5.87696e-02,-0.62,-1.06
-5.87680e-02,-0.86,0.94
-5.87664e-02,-0.26,-1.02
-5.87648e-02,0.66,0.94
-5.87632e-02,0.78,-1.02
-5.87616e-02,-0.62,0.94
-5.87600e-02,-0.9,-1.02
-5.87584e-02,-0.3,0.94
-5.87568e-02,0.66,-1.06
-5.87552e-02,0.74,0.94
-5.87536e-02,-0.58,-1.06
-5.87520e-02,-0.86,0.94
-5.87504e-02,-0.34,-1.02
-5.87488e-02,0.66,0.94
-5.87472e-02,0.74,-1.02
-5.87456e-02,-0.58,0.94
-5.87440e-02,-0.86,-1.06
-5.87424e-02,-0.3,0.94
-5.87408e-02,0.66,-1.02
-5.87392e-02,0.74,0.94
-5.87376e-02,-0.58,-1.02
-5.87360e-02,-0.9,0.98
-5.87344e-02,-0.3,-1.02
-5.87328e-02,0.66,0.94
-5.87312e-02,0.7,-1.02
-5.87296e-02,-0.54,0.94
-5.87280e-02,-0.9,-1.02
-5.87264e-02,-0.34,0.94
-5.87248e-02,0.66,-1.02
-5.87232e-02,0.74,0.94
-5.87216e-02,-0.54,-1.02
-5.87200e-02,-0.86,0.94
-5.87184e-02,-0.34,-1.02
-5.87168e-02,0.62,0.98
-5.87152e-02,0.78,-1.02
-5.87136e-02,-0.54,0.98
-5.87120e-02,-0.9,-1.02
-5.87104e-02,-0.34,0.98
-5.87088e-02,0.62,-1.02
-5.87072e-02,0.74,0.94
-5.87056e-02,-0.5,-1.02
-5.87040e-02,-0.86,0.98
-5.87024e-02,-0.34,-1.02
-5.87008e-02,0.62,0.94
-5.86992e-02,0.74,-1.02
-5.86976e-02,-0.46,0.98
-5.86960e-02,-0.86,-1.02
-5.86944e-02,-0.34,0.98
-5.86928e-02,0.58,-1.02
-5.86912e-02,0.78,0.98
-5.86896e-02,-0.46,-1.02
-5.86880e-02,-0.86,1.02
-5.86864e-02,-0.34,-1.02
-5.86848e-02,0.62,0.98
-5.86832e-02,0.78,-1.02
-5.86816e-02,-0.42,0.98
-5.86800e-02,-0.9,-1.02
-5.86784e-02,-0.38,0.98
-5.86768e-02,0.66,-0.98
-5.86752e-02,0.78,0.98
-5.86736e-02,-0.42,-1.02
-5.86720e-02,-0.9,1.02
-5.86704e-02,-0.38,-1.02
-5.86688e-02,0.62,0.98
-5.86672e-02,0.78,-1.02
-5.86656e-02,-0.42,0.98
-5.86640e-02,-0.9,-1.02
-5.86624e-02,-0.34,1.02
-5.86608e-02,0.62,-1.02
-5.86592e-02,0.74,0.98
-5.86576e-02,-0.38,-1.02
-5.86560e-02,-0.9,0.98
-5.86544e-02,-0.38,-0.98
-5.86528e-02,0.62,0.98
-5.86512e-02,0.78,-1.02
-5.86496e-02,-0.38,1.02
-5.86480e-02,-0.86,-1.02
-5.86464e-02,-0.38,0.98
-5.86448e-02,0.62,-1.02
-5.86432e-02,0.82,1.02
-5.86416e-02,-0.38,-0.98
-5.86400e-02,-0.9,1.02
-5.86384e-02,-0.38,-0.98
-5.86368e-02,0.58,0.98
-5.86352e-02,0.78,-0.98
-5.86336e-02,-0.42,0.98
-5.86320e-02,-0.9,-0.98
-5.86304e-02,-0.34,0.98
-5.86288e-02,0.58,-1.02
-5.86272e-02,0.78,0.98
-5.86256e-02,-0.38,-0.98
-5.86240e-02,-0.9,0.98
-5.86224e-02,-0.38,-0.98
-5.86208e-02,0.58,0.98
-5.86192e-02,0.82,-1.02
-5.86176e-02,-0.42,1.02
-5.86160e-02,-0.94,-1.02
-5.86144e-02,-0.38,1.02
-5.86128e-02,0.62,-0.98
-5.86112e-02,0.78,1.02
-5.86096e-02,-0.38,-1.02
-5.86080e-02,-0.9,0.98
-5.86064e-02,-0.38,-0.98
-5.86048e-02,0.58,1.02
-5.86032e-02,0.78,-0.98
-5.86016e-02,-0.38,1.02
-5.86000e-02,-0.86,-0.98
-5.85984e-02,-0.38,1.02
-5.85968e-02,0.58,-0.98
-5.85952e-02,0.78,1.02
-5.85936e-02,-0.42,-1.02
-5.85920e-02,-0.9,1.02
-5.85904e-02,-0.38,-0.98
-5.85888e-02,0.58,0.98
-5.85872e-02,0.82,-1.02
-5.85856e-02,-0.42,0.98
-5.85840e-02,-0.86,-1.02
-5.85824e-02,-0.38,0.98
-5.85808e-02,0.58,-1.02
-5.85792e-02,0.82,1.02
-5.85776e-02,-0.42,-1.02
-5.85760e-02,-0.9,0.98
-5.85744e-02,-0.38,-1.02
-5.85728e-02,0.58,0.98
-5.85712e-02,0.82,-1.02
-5.85696e-02,-0.5,1.02
-5.85680e-02,-0.9,-1.02
-5.85664e-02,-0.38,1.02
-5.85648e-02,0.58,-1.02
-5.85632e-02,0.82,1.02
-5.85616e-02,-0.46,-1.06
-5.85600e-02,-0.9,1.06
-5.85584e-02,-0.38,-1.02
-5.85568e-02,0.58,1.02
-5.85552e-02,0.78,-1.02
-5.85536e-02,-0.46,1.02
-5.85520e-02,-0.9,-1.02
